ubigeo;distrito;centro_poblado;region_natural;altitud_msnm;pob_2017;categoria_ign;lon;lat;fuente_coord
060609;San Juan De Cutervo;El Toche;Yunga fluvial;1844;30;ANEXO;-78.60649023499997;-6.173226561999968;INEI
060609;San Juan De Cutervo;El Batan;Yunga fluvial;1821;24;ANEXO;-78.60818749999999;-6.177113281999937;INEI
060609;San Juan De Cutervo;Corral;Yunga fluvial;1524;22;;-78.61628486299998;-6.154335598999978;INEI
060609;San Juan De Cutervo;Shawindo;Yunga fluvial;1697;21;ANEXO;-78.58852929699998;-6.194689452999967;INEI
060609;San Juan De Cutervo;El Limon;Rupa Rupa;1282;20;ANEXO;-78.61222460899995;-6.1474296879999315;INEI
060609;San Juan De Cutervo;Choloque;Yunga fluvial;1741;12;ANEXO;-78.63125567099996;-6.163439465999943;IGN
060609;San Juan De Cutervo;Bunbullina;Yunga fluvial;1762;9;ANEXO;-78.58162890599993;-6.1880507809999585;INEI
060609;San Juan De Cutervo;Chupadero;Yunga fluvial;1718;7;ANEXO;-78.57442187499998;-6.179753906999963;INEI
060609;San Juan De Cutervo;Roble Pampa;Rupa Rupa;1353;5;ANEXO;-78.59282617199995;-6.1582343749999495;INEI
060609;San Juan De Cutervo;Ayahuas;Yunga fluvial;1862;5;ANEXO;-78.59466210899996;-6.194974609999974;INEI
060609;San Juan De Cutervo;Las Pitayas;Yunga fluvial;1501;0;;-78.62927923799998;-6.152380723999954;INEI
060609;San Juan De Cutervo;Potomayo;Yunga fluvial;1794;0;ANEXO;-78.63319570099998;-6.155600105999952;IGN
060610;San Luis De Lucma;San Luis De Lucma;Yunga fluvial;1916;473;PUEBLO;-78.60390823599994;-6.293738231999953;IGN
060610;San Luis De Lucma;Saire Pampa;Yunga fluvial;2243;347;;-78.62837173699995;-6.279202473999931;INEI
060610;San Luis De Lucma;Santa Rosa Del Tingo;Quechua;2698;334;CASERÃO;-78.60887445999998;-6.261472458999947;IGN
060610;San Luis De Lucma;Sexeshita;Quechua;2815;303;CASERÃO;-78.63049573299998;-6.281617747999974;IGN
060610;San Luis De Lucma;Santo Domingo;Quechua;2772;200;CASERÃO;-78.62978574999994;-6.25764167799997;IGN
060610;San Luis De Lucma;Sapayut El Triunfo;Yunga fluvial;1921;156;;-78.62585536199998;-6.294183473999965;INEI
060610;San Luis De Lucma;Tunasloma;Yunga fluvial;1806;156;;;;
060610;San Luis De Lucma;La Palma De Santa Rosa;Quechua;2806;147;CASERÃO;-78.62232371399995;-6.266912341999955;IGN
060610;San Luis De Lucma;Succhapampa;Yunga fluvial;2276;128;CASERÃO;-78.59642773399997;-6.276185546999955;INEI
060610;San Luis De Lucma;Vista Alegre De Uñigan;Quechua;2759;116;;;;
060610;San Luis De Lucma;Nuevo San Luis;Yunga fluvial;1952;109;;;;
060610;San Luis De Lucma;Chilac;Yunga fluvial;1514;94;CASERÃO;-78.60684429199995;-6.302221654999926;INEI
060610;San Luis De Lucma;Yerba Buena;Quechua;2893;84;CASERÃO;-78.59912252599997;-6.249462430999927;IGN
060610;San Luis De Lucma;Casiampata;Yunga fluvial;2252;83;UNID. AGROPECUARIA;-78.55303710899994;-6.256998046999968;INEI
060610;San Luis De Lucma;Sinshahual;Quechua;2379;82;;;;
060610;San Luis De Lucma;La Libertad;Yunga fluvial;2057;78;CASERÃO;-78.60880462199998;-6.288137276999976;IGN
060610;San Luis De Lucma;El Progreso;Yunga fluvial;2001;69;;;;
060610;San Luis De Lucma;Casian Calabozo;Rupa Rupa;1493;30;UNID. AGROPECUARIA;-78.53111328099999;-6.257833983999944;INEI
